minute,open,high,low,close
2022-07-28 12:10:00,1644.956666666667,1646.3666666666668,1644.1933333333334,1646.0233333333333
2022-07-28 12:15:00,1646.0200000000002,1649.1066666666666,1642.5,1648.1933333333334
2022-07-28 12:20:00,1648.1966666666667,1648.8566666666666,1644.9766666666667,1645.9833333333331
2022-07-28 12:25:00,1645.9800000000002,1646.2266666666667,1634.6133333333337,1643.57
2022-07-28 12:30:00,1643.5666666666666,1643.57,1633.0,1633.7699999999998
2022-07-28 12:35:00,1633.7666666666669,1637.2166666666665,1630.4899999999998,1634.426666666667
2022-07-28 12:40:00,1634.426666666667,1638.4233333333332,1633.9733333333334,1636.496666666667
2022-07-28 12:45:00,1636.496666666667,1636.78,1631.0433333333333,1634.8566666666668
2022-07-28 12:50:00,1634.8566666666668,1635.82,1633.1933333333334,1633.236666666667
2022-07-28 12:55:00,1633.24,1634.3266666666666,1631.3166666666666,1632.8833333333332
