minute,open,high,low,close
2022-07-28 12:10:00,23154.550000000003,23167.496666666662,23146.956666666665,23161.283333333336
2022-07-28 12:15:00,23161.693333333333,23212.086666666662,23145.34,23202.24333333333
2022-07-28 12:20:00,23201.77333333333,23228.653333333332,23173.68,23180.046666666665
2022-07-28 12:25:00,23180.676666666663,23181.486666666664,23051.756666666668,23123.15
2022-07-28 12:30:00,23122.32,23123.786666666667,23006.8,23019.47
2022-07-28 12:35:00,23019.47,23041.143333333337,22972.096666666665,23015.066666666666
2022-07-28 12:40:00,23015.066666666666,23053.15,23007.916666666668,23039.156666666662
2022-07-28 12:45:00,23038.706666666665,23040.62,22961.716666666664,23009.29
2022-07-28 12:50:00,23007.50333333333,23013.43333333333,22979.95,22983.963333333333
2022-07-28 12:55:00,22983.963333333333,22987.073333333334,22948.446666666667,22957.45333333333
