,minute,open,high,low,close
0,07/28/2022 12:11,1644.8,1644.8,1644.3,1644.3
1,07/28/2022 12:12,1644.3,1644.8,1644.3,1644.8
2,07/28/2022 12:13,1644.8,1646.0,1644.8,1645.5
3,07/28/2022 12:14,1645.5,1646.0,1645.1,1646.0
4,07/28/2022 12:15,1646.0,1646.1,1645.1,1645.8
5,07/28/2022 12:16,1645.8,1646.2,1645.3,1645.7
6,07/28/2022 12:17,1645.7,1645.7,1642.6,1645.2
7,07/28/2022 12:18,1645.2,1647.3,1645.2,1646.5
8,07/28/2022 12:19,1646.5,1648.8,1646.5,1648.5
9,07/28/2022 12:20,1648.5,1648.7,1647.8,1648.7
10,07/28/2022 12:21,1648.7,1648.7,1647.2,1647.2
11,07/28/2022 12:22,1647.2,1647.9,1645.2,1645.2
12,07/28/2022 12:23,1645.2,1646.6,1645.0,1646.3
13,07/28/2022 12:24,1646.3,1646.3,1645.4,1646.2
14,07/28/2022 12:25,1646.2,1646.2,1645.6,1645.6
15,07/28/2022 12:26,1645.6,1645.6,1639.1,1639.5
16,07/28/2022 12:27,1639.5,1640.6,1635.0,1635.0
17,07/28/2022 12:28,1635.0,1637.9,1634.5,1637.8
18,07/28/2022 12:29,1637.8,1643.7,1637.2,1643.4
19,07/28/2022 12:30,1643.4,1643.4,1641.3,1641.7
20,07/28/2022 12:31,1641.7,1641.8,1640.8,1641.2
21,07/28/2022 12:32,1641.2,1641.2,1638.3,1638.3
22,07/28/2022 12:33,1638.3,1638.3,1635.8,1636.5
23,07/28/2022 12:34,1636.5,1636.8,1633.0,1633.5
24,07/28/2022 12:35,1633.5,1636.9,1633.0,1633.5
25,07/28/2022 12:36,1633.5,1636.3,1633.4,1636.3
26,07/28/2022 12:37,1636.3,1636.3,1633.7,1633.7
27,07/28/2022 12:38,1633.7,1636.1,1630.5,1631.7
28,07/28/2022 12:39,1631.7,1635.1,1631.7,1634.4
29,07/28/2022 12:40,1634.4,1635.8,1634.0,1634.6
30,07/28/2022 12:41,1634.6,1638.5,1634.6,1637.7
31,07/28/2022 12:42,1637.7,1637.7,1637.1,1637.1
32,07/28/2022 12:43,1637.1,1637.3,1636.7,1636.7
33,07/28/2022 12:44,1636.7,1637.7,1636.5,1636.5
34,07/28/2022 12:45,1636.5,1636.7,1634.6,1635.0
35,07/28/2022 12:46,1635.0,1635.0,1631.2,1631.5
36,07/28/2022 12:47,1631.5,1634.1,1631.2,1633.5
37,07/28/2022 12:48,1633.5,1633.7,1631.9,1631.9
38,07/28/2022 12:49,1631.9,1634.7,1631.9,1634.7
39,07/28/2022 12:50,1634.7,1635.2,1633.4,1633.5
40,07/28/2022 12:51,1633.5,1634.8,1633.4,1634.0
41,07/28/2022 12:52,1634.0,1635.8,1633.4,1634.4
42,07/28/2022 12:53,1634.4,1634.7,1634.0,1634.0
43,07/28/2022 12:54,1634.0,1634.5,1633.2,1633.2
44,07/28/2022 12:55,1633.2,1634.0,1633.0,1633.0
45,07/28/2022 12:56,1633.0,1633.5,1631.4,1632.5
46,07/28/2022 12:57,1632.5,1633.6,1632.2,1633.2
47,07/28/2022 12:58,1633.2,1634.4,1632.3,1632.3
48,07/28/2022 12:59,1632.3,1633.8,1632.3,1632.8
49,07/28/2022 13:00,1632.8,1633.2,1631.5,1632.0
50,07/28/2022 13:01,1632.0,1632.0,1627.8,1629.6
