,minute,open,high,low,close
0,07/28/2022 12:11,23154.27,23154.28,23148.0,23148.0
1,07/28/2022 12:12,23148.0,23154.52,23148.0,23151.69
2,07/28/2022 12:13,23151.69,23168.01,23151.69,23159.69
3,07/28/2022 12:14,23159.69,23163.78,23149.73,23160.79
4,07/28/2022 12:15,23160.79,23170.22,23147.58,23170.22
5,07/28/2022 12:16,23170.21,23173.46,23165.57,23166.26
6,07/28/2022 12:17,23166.26,23179.75,23145.0,23171.04
7,07/28/2022 12:18,23171.04,23192.97,23171.04,23192.97
8,07/28/2022 12:19,23192.97,23210.26,23192.95,23201.73
9,07/28/2022 12:20,23201.73,23226.83,23196.72,23213.37
10,07/28/2022 12:21,23213.37,23213.82,23196.09,23196.24
11,07/28/2022 12:22,23196.24,23202.23,23173.44,23175.94
12,07/28/2022 12:23,23175.94,23183.91,23173.45,23182.21
13,07/28/2022 12:24,23182.21,23182.21,23177.58,23179.13
14,07/28/2022 12:25,23179.13,23179.4,23164.02,23164.03
15,07/28/2022 12:26,23164.02,23164.03,23090.9,23096.32
16,07/28/2022 12:27,23096.32,23102.95,23054.48,23055.1
17,07/28/2022 12:28,23055.1,23082.61,23055.1,23077.98
18,07/28/2022 12:29,23077.98,23123.59,23077.98,23123.59
19,07/28/2022 12:30,23123.59,23123.59,23110.59,23110.88
20,07/28/2022 12:31,23110.88,23110.89,23098.45,23098.45
21,07/28/2022 12:32,23098.45,23098.45,23078.5,23079.34
22,07/28/2022 12:33,23079.34,23079.34,23052.22,23064.08
23,07/28/2022 12:34,23064.08,23064.08,23007.4,23017.62
24,07/28/2022 12:35,23017.62,23030.0,23011.72,23017.6
25,07/28/2022 12:36,23017.6,23030.0,23017.54,23030.0
26,07/28/2022 12:37,23030.0,23030.0,23010.73,23012.73
27,07/28/2022 12:38,23012.73,23042.55,22968.76,22993.74
28,07/28/2022 12:39,22993.74,23025.47,22993.74,23015.55
29,07/28/2022 12:40,23015.55,23031.29,23009.09,23016.45
30,07/28/2022 12:41,23016.45,23041.8,23016.45,23033.86
31,07/28/2022 12:42,23033.86,23038.29,23030.95,23030.96
32,07/28/2022 12:43,23030.96,23043.77,23024.84,23034.51
33,07/28/2022 12:44,23034.51,23051.75,23031.79,23039.09
34,07/28/2022 12:45,23039.09,23039.09,23020.7,23025.63
35,07/28/2022 12:46,23025.63,23025.63,22978.47,22978.47
36,07/28/2022 12:47,22978.47,22997.18,22963.55,22990.84
37,07/28/2022 12:48,22990.84,22996.99,22984.9,22984.9
38,07/28/2022 12:49,22984.9,23006.94,22984.9,23006.94
39,07/28/2022 12:50,23006.94,23010.57,22993.86,22998.87
40,07/28/2022 12:51,22998.87,23006.39,22986.95,22992.56
41,07/28/2022 12:52,22992.56,23007.75,22987.37,22987.37
42,07/28/2022 12:53,22987.37,22993.1,22985.75,22985.75
43,07/28/2022 12:54,22985.75,22992.06,22980.68,22982.7
44,07/28/2022 12:55,22982.7,22985.58,22982.69,22983.87
45,07/28/2022 12:56,22983.87,22983.87,22947.29,22962.66
46,07/28/2022 12:57,22962.66,22969.47,22958.05,22966.08
47,07/28/2022 12:58,22966.08,22979.68,22957.96,22957.96
48,07/28/2022 12:59,22957.96,22972.72,22957.91,22957.91
49,07/28/2022 13:00,22957.91,22957.92,22925.07,22937.69
50,07/28/2022 13:01,22937.69,22938.79,22917.09,22929.71
